id,clust_3,LD1,LD2
307,1,-2.155451371492649,-0.027227871746629967
308,1,-2.205059970940626,-0.470624127151993
309,1,-2.0300564092453257,-0.5604588472045662
395,1,-2.896039820879828,-0.44154200754543926
396,1,-2.457950128253033,-0.3627693256273825
397,1,-2.2768769070166996,-0.4122496477386298
398,1,-1.3991184601715472,-0.8898944436096261
399,1,-2.0452091820476817,-1.0997689112027875
484,1,-3.91762972316971,-1.8153914065387022
485,1,-2.783763734539662,-1.0479735936680412
486,1,-1.9461337104903296,-0.7745241594619048
487,1,-1.8926236616279077,-1.543376559445404
488,1,-2.4310538779930972,-1.6188098074526884
489,1,-2.0422930095031546,-1.6044587232085803
490,1,-1.7879648299185222,-1.5716578620789383
491,1,-1.6899317302505976,-1.5655856724639436
573,1,-3.892955934580132,-1.6382161306306748
574,1,-3.6812622112353335,-1.6682430096434613
575,1,-2.3710787582291175,-1.2355947812065626
576,1,-2.317059729845467,-1.537362673381161
577,1,-2.6532923063398135,-1.5369597179862722
578,1,-2.5607161881463854,-1.4696534586093373
579,1,-2.401968050095711,-1.430883675171072
580,1,-1.9458824648180792,-1.6312297531060123
581,1,-2.0789369557876323,-1.545167114724121
582,1,-0.8181397625419495,-1.1472347294474274
583,1,-0.38351613198732976,-0.15035641265739608
662,1,-4.068555937676357,-1.6387896066466376
663,1,-3.78649319300222,-1.6201581827173857
664,1,-2.4898318728775846,-1.2043845598700533
665,1,-2.6836086390676614,-1.3299833588242995
666,1,-2.775337177569939,-1.3475341803201601
667,1,-2.3223066912553585,-1.391777593820519
668,1,-1.7376142796157483,-1.6554715845813994
669,1,-1.7756484607954275,-1.7435867513695638
670,1,-1.709931888583701,-1.802566964411728
671,1,-0.8439118868269896,-1.2075479988636868
672,1,-0.22227940487259507,-0.24471202459120872
673,1,0.18957560548906932,0.25983194403763477
751,1,-3.8655968634499698,-1.566688926540993
752,1,-3.5294879872565015,-1.5774035845149763
753,1,-2.7436356912866833,-1.1686519864974172
754,1,-2.7293834430932287,-1.323390368728749
755,1,-2.8579300792403797,-1.3581014713796635
756,1,-2.543473507034299,-1.372411175697801
757,1,-1.602738096204473,-1.6957801749722958
758,1,-1.957431834110758,-2.0297371119523255
759,1,-1.5343104904732867,-0.645936792890496
760,1,-0.9681429981358393,-0.2466857966127195
761,1,-0.7531676085952336,-0.1647280885757084
762,1,-0.4665918061494568,-0.0061198588010184796
763,1,0.488898871139377,-0.2427842753055695
841,1,-3.4147431852167602,-1.3113187722385131
842,1,-3.1566850042252335,-1.2055291579240532
843,1,-2.8696947568208846,-1.1417271583002533
844,1,-3.0742117489214347,-1.2298792549721662
845,1,-2.4839139087858237,-1.749139967397572
846,1,-2.041008007950751,-1.5955027988317076
847,1,-2.2564839036989057,-2.491577494103497
848,1,-1.2098124099874545,-0.5192974198420071
849,1,-0.6450886042561351,-0.49607315396319274
850,1,-0.41717767787847215,-0.5482945113285455
851,1,-1.0108774976052781,-0.3487222506639886
852,1,1.4428557959541284,0.08574259980178085
929,1,-3.669555045631269,-1.2163107632876093
930,1,-3.208136691222056,-0.8822528886733922
931,1,-3.0295893763361668,-1.0681664214105508
932,1,-3.210858193891159,-1.148175657855555
933,1,-2.672421376820107,-1.4673525562645577
934,1,-2.69464609147498,-1.4842935210069368
935,1,-2.1650702390088834,-1.8527243178242254
936,1,-2.3132703161606605,-1.8181444495042187
937,1,-1.5023196902178528,-0.34558141855574775
938,1,-0.8567267565923243,-0.7000734957766321
939,1,-0.7452566011826562,-0.5684525241325569
940,1,-1.109403526385155,-0.3260249388740337
941,1,1.3256331914053532,-0.17717733176890635
1020,1,-3.1152035927717536,-1.1732572785764408
1021,1,-2.752575895772882,-1.3657151985492009
1022,1,-2.9536511806510792,-1.3427515449690992
1023,1,-2.80722245720808,-1.2911688361982605
1024,1,-2.5276391129907236,-1.5961204521742207
1025,1,-2.3713562681804827,-1.9186507425816504
1026,1,-1.5311672083858463,-0.4325418011128037
1027,1,-0.9509026927302693,-0.8426927550214421
1028,1,-0.9771490037492893,-0.5266439052708491
1029,1,-0.392375451815143,-0.890544123908838
1030,1,1.3047959569375698,-0.5824772527848084
1109,1,-3.1861940572596428,-1.1655625758009889
1110,1,-2.649327018160772,-1.3062811964811392
1111,1,-2.778171439193182,-1.3992490489483957
1112,1,-1.9869644097662873,-1.7409092856907724
1113,1,-1.6791156510000822,-1.9884319337366778
1114,1,-2.179475586593496,-2.2709622633177338
1115,1,-1.8914537626156676,-2.286944687335837
1116,1,-0.9988701888138344,-0.9180499706797426
1117,1,-0.5914331726550033,-0.6668641095898479
1118,1,0.15966375959354526,-0.9117603486902865
1198,1,-3.168002289080523,-0.7758589599812419
1199,1,-2.9349579084921276,-1.1106076193811376
1200,1,-2.8437444765136144,-1.084385302010698
1201,1,-2.4978310943772466,-1.384976450589707
1202,1,-2.4883389797034026,-1.711692569751252
1203,1,-2.395522561152073,-1.840683992060911
1204,1,-1.7046117078035457,-1.8182422574229102
