"id","clust_5","clust_3","clust_pred4_5"
307,1,1,"4"
308,2,1,"4"
309,2,1,"4"
395,1,1,"4"
396,1,1,"5"
397,1,1,"4"
398,2,1,"4"
399,2,1,"4"
484,1,1,"2"
485,1,1,"2"
486,1,1,"2"
487,1,1,"2"
488,1,1,"2"
489,2,1,"2"
490,2,1,"2"
491,2,1,"2"
573,1,1,"2"
574,1,1,"2"
575,1,1,"2"
576,1,1,"2"
577,1,1,"2"
578,1,1,"2"
579,2,1,"2"
580,2,1,"2"
581,2,1,"2"
582,2,1,"2"
583,2,1,"2"
662,1,1,"2"
663,1,1,"2"
664,1,1,"2"
665,1,1,"2"
666,1,1,"2"
667,1,1,"2"
668,2,1,"2"
669,2,1,"2"
670,2,1,"2"
671,2,1,"2"
672,2,1,"2"
673,2,1,"2"
751,1,1,"2"
752,1,1,"2"
753,1,1,"2"
754,1,1,"2"
755,1,1,"2"
756,2,1,"2"
757,2,1,"2"
758,2,1,"2"
759,2,1,"4"
760,2,1,"4"
761,2,1,"4"
762,2,1,"4"
763,2,1,"4"
841,1,1,"2"
842,1,1,"2"
843,1,1,"2"
844,2,1,"4"
845,2,1,"4"
846,2,1,"4"
847,2,1,"4"
848,2,1,"4"
849,2,1,"4"
850,2,1,"4"
851,2,1,"4"
852,2,1,"4"
929,1,1,"2"
930,1,1,"2"
931,1,1,"2"
932,2,1,"2"
933,2,1,"4"
934,2,1,"2"
935,2,1,"4"
936,2,1,"2"
937,2,1,"4"
938,2,1,"4"
939,2,1,"4"
940,2,1,"2"
941,2,1,"4"
1020,1,1,"2"
1021,2,1,"2"
1022,2,1,"2"
1023,2,1,"4"
1024,2,1,"2"
1025,2,1,"2"
1026,2,1,"4"
1027,2,1,"2"
1028,2,1,"4"
1029,2,1,"4"
1030,2,1,"4"
1109,1,1,"2"
1110,2,1,"2"
1111,2,1,"2"
1112,2,1,"4"
1113,2,1,"4"
1114,2,1,"4"
1115,2,1,"4"
1116,2,1,"4"
1117,2,1,"4"
1118,2,1,"4"
1198,1,1,"2"
1199,1,1,"2"
1200,2,1,"2"
1201,2,1,"2"
1202,2,1,"4"
1203,2,1,"4"
1204,2,1,"2"
1205,2,1,"4"
1211,2,1,"4"
1212,2,1,"4"
1213,2,1,"4"
1214,2,1,"4"
1290,2,1,"2"
1291,2,1,"2"
1292,2,1,"2"
1293,2,1,"4"
1294,2,1,"4"
1298,2,1,"4"
1299,2,1,"2"
1300,2,1,"4"
1301,2,1,"4"
1302,2,1,"4"
1320,2,1,"3"
1321,2,1,"4"
1322,2,1,"4"
1323,2,1,"2"
1380,2,1,"4"
1381,2,1,"4"
1382,2,1,"4"
1383,2,1,"4"
1386,2,1,"4"
1387,2,1,"2"
1388,2,1,"2"
1389,2,1,"2"
1390,2,1,"4"
1403,2,1,"2"
1404,2,1,"2"
1406,2,1,"3"
1407,2,1,"3"
1408,2,1,"3"
1409,2,1,"3"
1410,3,2,"3"
1411,3,2,"4"
1412,3,2,"4"
1469,2,1,"4"
1470,2,1,"2"
1471,2,1,"2"
1472,2,1,"4"
1473,2,1,"4"
1474,2,1,"4"
1475,2,1,"4"
1476,2,1,"2"
1477,2,1,"2"
1478,2,1,"2"
1479,2,1,"2"
1480,2,1,"2"
1492,2,1,"4"
1493,2,1,"4"
1494,2,1,"2"
1495,2,1,"2"
1496,3,2,"2"
1497,3,2,"2"
1498,3,2,"2"
1499,3,2,"4"
1500,3,2,"4"
1501,3,2,"4"
1555,2,1,"4"
1556,2,1,"4"
1557,2,1,"4"
1558,2,1,"4"
1559,2,1,"4"
1560,2,1,"4"
1561,2,1,"4"
1562,2,1,"4"
1563,2,1,"4"
1564,2,1,"4"
1565,2,1,"5"
1566,2,1,"2"
1567,2,1,"2"
1568,2,1,"2"
